TEST_id,Transformation outliers,Ordinalise/bin,drop,FEATURE ENGINEERING. DESCRIPTION,NORMALIZER SCALER,STANDARD SCALER,MIXMAX SCALER,POWER SCALER,Class Regr MODEL,KNN MODEL,"KNN
Key",Random Forest MODEL,Ada MODEL,SVM MODEL,TOMEK BALANCER,SMOTE BALANCER,"UNDER BALANCER
-","OVER SCALER
+",Accuracy RESULTS,"Kappa RESULTS
(0.65 target)",TN RESULTS,FN RESULTS,TP RESULTS,FP RESULTS,"Model Value 
10 to 1","Model 
25 to 1","Model 
100 to 1","Model 
1000 to1"
K Test 17,1,1,0,"IQR outliers and bucket housesiz, avg balan 500",0,1,0,0,0,0,0,0,1,0,0,1,0,0,0.87,0.18,4488,214,114,494,0.1001883239,0.4222222222,2.032391714,3.105838041
K Test 39,1,1,1,"IQR outliers, Bin: HSiz, Avg balan FREQ, Avg bal: Removed 3 bin",0,1,0,0,1,0,0,0,0,0,1,0,1,0,0.91,0.18,4691,242,72,134,0.100019459,0.3101770773,1.360965168,2.061490562
K Test 38,1,1,1,"IQR outliers, Bin: HSiz, Avg balan FREQ, Avg bal: Removed 3 bin",0,0,0,1,1,0,0,0,0,0,1,1,0,0,0.91,0.18,4670,240,74,255,0.07845008589,0.2903225806,1.349685054,2.055926704
K Test 37,1,1,1,"IQR outliers, Bin: HSiz, Avg balan FREQ, Avg bal: Removed 3 bin",0,1,0,0,1,0,0,0,0,0,1,1,0,0,0.91,0.18,4678,241,73,247,0.07825920977,0.2872685627,1.332315327,2.02901317
K Test 40,1,1,1,"IQR outliers, Bin: HSiz, Avg balan FREQ, Avg bal: Removed 3 bin",0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.91,0.18,4695,244,70,230,0.07635044856,0.276770376,1.278870013,1.946936438
K Test 36,1,1,0,"IQR outliers, Bin: HSiz, Avg balan FREQ",0,1,0,0,0,0,0,0,1,0,1,1,0,0,0.84,0.17,4335,196,132,647,0.1018832392,0.4747645951,2.339171375,3.582109228
K Test 42,1,1,0,"IQR outliers and bucket housesiz, avg balan 500",0,0,0,1,0,0,0,0,1,0,1,1,0,0,0.84,0.17,4354,197,131,628,0.1037664783,0.4738229755,2.324105461,3.557627119
K Test 33,1,1,1,"IQR Outliers, Bin: HSiz, Avg balan 500, Avg bal: Removed 4 bin",0,0,0,1,0,0,0,0,1,0,1,1,0,0,0.85,0.17,4310,188,126,615,0.09906470701,0.4598205764,2.263599924,3.466119488
K Test 19,1,1,0,"IQR outliers and bucket housesiz, avg balan 500",0,0,0,1,0,0,0,0,1,0,1,1,0,0,0.86,0.17,4429,209,119,553,0.09755178908,0.4337099812,2.114500942,3.235028249
K Test 18,1,1,0,"IQR outliers and bucket housesiz, avg balan 500",0,1,0,0,0,0,0,0,1,0,0,1,0,0,0.86,0.17,4446,213,115,536,0.09397363465,0.4188323917,2.043126177,3.125988701
K Test 41,1,1,1,"IQR outliers, Bin: HSiz, Avg balan FREQ, Avg bal: Removed 3 bin",0,0,1,0,1,0,0,0,0,0,1,1,0,0,0.91,0.17,4707,249,65,218,0.07005153655,0.2561557549,1.186676847,1.807024241
K Test 35,1,1,1,"IQR Outliers, Bin: HSiz, Avg balan 500, Avg bal: Removed 4 bin",0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.91,0.17,4706,249,65,219,0.06986066043,0.2559648788,1.186485971,1.806833365
K Test 31,1,1,1,"IQR Outliers, Bin: HSiz, Avg balan 500, Avg bal: Removed 4 bin",0,1,0,0,0,0,0,0,1,0,1,1,0,0,0.86,0.16,4369,203,111,556,0.08455812178,0.4023668639,1.991410575,3.050773048
K Test 29,1,1,1,"IQR Outliers, Bin: HSiz, Avg balan 500, Avg bal: Removed 4 bin",0,0,0,0,1,0,0,0,0,0,1,1,0,0,0.9,0.16,4676,249,65,249,0.06413437679,0.2502385952,1.180759687,1.801107082
K Test 32,1,1,1,"IQR Outliers, Bin: HSiz, Avg balan 500, Avg bal: Removed 4 bin",0,0,0,1,1,0,0,0,0,0,1,1,0,0,0.91,0.16,4697,250,64,228,0.06642489025,0.2496659668,1.165871349,1.776674938
